snapped_at,price,market_cap,total_volume,Logaritmic return
2018-11-24 00:00:00 UTC,4376.904947,76120308176,3520222576,0.016009984
2018-11-23 00:00:00 UTC,4307.388732,75518575145,3055231903,-0.068643748
2018-11-22 00:00:00 UTC,4613.448412,80360705527,4321511764,0.035911645
2018-11-21 00:00:00 UTC,4450.711454,76601948314,6314969584,-0.093964292
2018-11-20 00:00:00 UTC,4889.197859,85228342224,6126269575,-0.142653927
2018-11-19 00:00:00 UTC,5638.861481,98118875508,2422604401,0.007059951
2018-11-18 00:00:00 UTC,5599.191596,97299989131,2525819291,-0.001920679
2018-11-17 00:00:00 UTC,5609.956182,97344067024,3236633357,-0.013559269
2018-11-16 00:00:00 UTC,5686.541131,98829079081,4981978553,-0.017790447
2018-11-15 00:00:00 UTC,5788.612494,1.01E+11,5690409837,-0.099512667
2018-11-14 00:00:00 UTC,6394.289276,1.11E+11,2890964719,-0.002665102
2018-11-13 00:00:00 UTC,6411.353436,1.11E+11,2651674691,-0.003570268
2018-11-12 00:00:00 UTC,6434.284597,1.12E+11,2943678894,0.000681863
2018-11-11 00:00:00 UTC,6429.898792,1.11E+11,1672332108,0.00250968
2018-11-10 00:00:00 UTC,6413.782039,1.11E+11,2707057000,-0.011883476
2018-11-09 00:00:00 UTC,6490.454731,1.13E+11,2402484611,-0.012911744
2018-11-08 00:00:00 UTC,6574.80118,1.14E+11,3120683821,0.015319316
2018-11-07 00:00:00 UTC,6474.84729,1.12E+11,3408876944,0.009216907
2018-11-06 00:00:00 UTC,6415.443409,1.11E+11,3213571991,0.010086083
2018-11-05 00:00:00 UTC,6351.061941,1.10E+11,3198297932,-0.005828906
2018-11-04 00:00:00 UTC,6388.189788,1.11E+11,2582446887,-0.005814417
2018-11-03 00:00:00 UTC,6425.441583,1.12E+11,2675454291,0.007101496
2018-11-02 00:00:00 UTC,6379.972972,1.11E+11,2922702484,0.00207942
2018-11-01 00:00:00 UTC,6366.72011,1.10E+11,2042670545,0.005502758
2018-10-31 00:00:00 UTC,6331.781808,1.10E+11,1962209614,0.006199727
2018-10-30 00:00:00 UTC,6292.647924,1.09E+11,3631795693,-0.029542722
2018-10-29 00:00:00 UTC,6481.323142,1.12E+11,2065446089,0.003750784
2018-10-28 00:00:00 UTC,6457.058635,1.12E+11,2383295891,-0.00182081
2018-10-27 00:00:00 UTC,6468.826425,1.12E+11,2698016931,0.001645376
2018-10-26 00:00:00 UTC,6458.191522,1.12E+11,2618534041,-0.003593933
2018-10-25 00:00:00 UTC,6481.44359,1.12E+11,2607022302,0.001334533
2018-10-24 00:00:00 UTC,6472.799661,1.12E+11,2784381147,-0.006128353
2018-10-23 00:00:00 UTC,6512.589059,1.13E+11,2655159955,-0.002619327
2018-10-22 00:00:00 UTC,6529.670021,1.13E+11,2127987153,-0.000460672
2018-10-21 00:00:00 UTC,6532.67875,1.13E+11,2387105749,0.00750604
2018-10-20 00:00:00 UTC,6483.827769,1.12E+11,2652532022,-0.005181527
2018-10-19 00:00:00 UTC,6517.511088,1.13E+11,2625598931,-0.017977899
2018-10-18 00:00:00 UTC,6635.741832,1.15E+11,2820354466,9.29E-05
2018-10-17 00:00:00 UTC,6635.125668,1.15E+11,2746546151,-0.003723184
2018-10-16 00:00:00 UTC,6659.875508,1.15E+11,6217858944,0.051028898
2018-10-15 00:00:00 UTC,6328.55476,1.10E+11,1847113724,0.002162605
2018-10-14 00:00:00 UTC,6314.883384,1.09E+11,1851879465,0.004649103
2018-10-13 00:00:00 UTC,6285.592983,1.09E+11,2295615181,0.008183033
2018-10-12 00:00:00 UTC,6234.367641,1.08E+11,3581191343,-0.054330635
2018-10-11 00:00:00 UTC,6582.455082,1.14E+11,2070407902,-0.007761823
2018-10-10 00:00:00 UTC,6633.74573,1.15E+11,1741398467,-0.002911714
2018-10-09 00:00:00 UTC,6653.089451,1.15E+11,2081626437,0.01031248
2018-10-08 00:00:00 UTC,6584.832153,1.14E+11,1499424737,-0.000651669
2018-10-07 00:00:00 UTC,6589.124682,1.14E+11,1464404366,-0.004854502
2018-10-06 00:00:00 UTC,6621.189364,1.15E+11,1840911130,0.006437584
2018-10-05 00:00:00 UTC,6578.701809,1.14E+11,2059404665,0.012148742
2018-10-04 00:00:00 UTC,6499.262379,1.13E+11,2247969611,-0.003892138
2018-10-03 00:00:00 UTC,6524.607698,1.13E+11,2035903501,-0.011313238
2018-10-02 00:00:00 UTC,6598.84126,1.14E+11,1893760873,-0.004112965
2018-10-01 00:00:00 UTC,6626.037956,1.15E+11,1908960743,0.003017534
2018-09-30 00:00:00 UTC,6606.073795,1.14E+11,2294291064,-0.004333896
2018-09-29 00:00:00 UTC,6634.765965,1.15E+11,3140320712,-0.010486012
2018-09-28 00:00:00 UTC,6704.704246,1.16E+11,4690261095,0.036747421
2018-09-27 00:00:00 UTC,6462.795635,1.12E+11,3788299697,0.00332981
2018-09-26 00:00:00 UTC,6441.311545,1.11E+11,4580781824,-0.023759627
2018-09-25 00:00:00 UTC,6596.187313,1.14E+11,4626497702,-0.017260557
2018-09-24 00:00:00 UTC,6711.029452,1.16E+11,4322794079,-0.00535037
2018-09-23 00:00:00 UTC,6747.032173,1.17E+11,5159534299,-0.001007683
2018-09-22 00:00:00 UTC,6753.834472,1.17E+11,5931455400,0.039557441
2018-09-21 00:00:00 UTC,6491.885242,1.12E+11,5059042420,0.016796672
2018-09-20 00:00:00 UTC,6383.753841,1.10E+11,5380977505,0.005763129
2018-09-19 00:00:00 UTC,6347.069255,1.10E+11,4472798160,0.015392232
