Date,Symbol,Close,Counter,Logaritmic return
2017-11-01 12-AM,BTCUSD,6371.04,3337,0.005473891
2017-11-01 01-AM,BTCUSD,6406.01,3336,0.005473891
2017-11-01 02-AM,BTCUSD,6414.17,3335,0.001272993
2017-11-01 03-AM,BTCUSD,6409.46,3334,-0.000734581
2017-11-01 04-AM,BTCUSD,6450.32,3333,0.006354718
2017-11-01 05-AM,BTCUSD,6546.09,3332,0.014738183
2017-11-01 06-AM,BTCUSD,6600,3331,0.008201724
2017-11-01 07-AM,BTCUSD,6590.58,3330,-0.001428292
2017-11-01 08-AM,BTCUSD,6517.35,3329,-0.011173505
2017-11-01 09-AM,BTCUSD,6490.26,3328,-0.00416526
2017-11-01 10-AM,BTCUSD,6568.29,3327,0.011950933
2017-11-01 11-AM,BTCUSD,6564,3326,-0.000653351
2017-11-01 12-PM,BTCUSD,6595,3325,0.004711613
2017-11-01 01-PM,BTCUSD,6614.79,3324,0.002996265
2017-11-01 02-PM,BTCUSD,6594.92,3323,-0.003008395
2017-11-01 03-PM,BTCUSD,6619.99,3322,0.003794204
2017-11-01 04-PM,BTCUSD,6580,3321,-0.006059114
2017-11-01 05-PM,BTCUSD,6601,3320,0.003186407
2017-11-01 06-PM,BTCUSD,6677.2,3319,0.011477585
2017-11-01 07-PM,BTCUSD,6783.69,3318,0.015822464
2017-11-01 08-PM,BTCUSD,6815.28,3317,0.004645948
2017-11-01 09-PM,BTCUSD,6917.96,3316,0.014953778
2017-11-01 10-PM,BTCUSD,6890,3315,-0.004049843
2017-11-01 11-PM,BTCUSD,6948,3314,0.008382763
2017-11-02 12-AM,BTCUSD,6951,3313,0.000431686
2017-11-02 01-AM,BTCUSD,6933.06,3312,-0.00258426
2017-11-02 02-AM,BTCUSD,7083,3311,0.021396273
2017-11-02 03-AM,BTCUSD,7009.99,3310,-0.010361272
2017-11-02 04-AM,BTCUSD,7039.99,3309,0.004270475
2017-11-02 05-AM,BTCUSD,7040.83,3308,0.000119311
2017-11-02 06-AM,BTCUSD,7245.62,3307,0.028671087
2017-11-02 07-AM,BTCUSD,7029.99,3306,-0.030211865
2017-11-02 08-AM,BTCUSD,7030.9,3305,0.000129437
2017-11-02 09-AM,BTCUSD,7148.5,3304,0.016587824
2017-11-02 10-AM,BTCUSD,7027.22,3303,-0.017111365
2017-11-02 11-AM,BTCUSD,7091.01,3302,0.009036605
2017-11-02 12-PM,BTCUSD,6965.75,3301,-0.017822502
2017-11-02 01-PM,BTCUSD,7000.01,3300,0.004906295
2017-11-02 02-PM,BTCUSD,6879.9,3299,-0.017307461
2017-11-02 03-PM,BTCUSD,6977.96,3298,0.014152493
2017-11-02 04-PM,BTCUSD,7059.01,3297,0.011548205
2017-11-02 05-PM,BTCUSD,7089.9,3296,0.004366421
2017-11-02 06-PM,BTCUSD,7030.01,3295,-0.008483108
2017-11-02 07-PM,BTCUSD,7039.99,3294,0.001418621
2017-11-02 08-PM,BTCUSD,7000,3293,-0.005696601
2017-11-02 09-PM,BTCUSD,7011.81,3292,0.001685721
2017-11-02 10-PM,BTCUSD,7052,3291,0.005715394
2017-11-02 11-PM,BTCUSD,7220.01,3290,0.023545073
2017-11-03 12-AM,BTCUSD,7209.3,3289,-0.001484479
2017-11-03 01-AM,BTCUSD,7238.21,3288,0.004002079
2017-11-03 02-AM,BTCUSD,7210,3287,-0.003904987
2017-11-03 03-AM,BTCUSD,7323.82,3286,0.015663098
2017-11-03 04-AM,BTCUSD,7400,3285,0.01034795
2017-11-03 05-AM,BTCUSD,7386.77,3284,-0.001789438
2017-11-03 06-AM,BTCUSD,7417.25,3283,0.004117806
2017-11-03 07-AM,BTCUSD,7317.92,3282,-0.013482234
2017-11-03 08-AM,BTCUSD,7341.11,3281,0.003163923
2017-11-03 09-AM,BTCUSD,7241.15,3280,-0.013710024
2017-11-03 10-AM,BTCUSD,7293.2,3279,0.007162374
2017-11-03 11-AM,BTCUSD,7373,3278,0.010882272
2017-11-03 12-PM,BTCUSD,7326.03,3277,-0.00639092
2017-11-03 01-PM,BTCUSD,7303.36,3276,-0.003099243
2017-11-03 02-PM,BTCUSD,7343,3275,0.005412962
2017-11-03 03-PM,BTCUSD,7298.47,3274,-0.006082741
2017-11-03 04-PM,BTCUSD,7235.2,3273,-0.008706734
2017-11-03 05-PM,BTCUSD,7144.99,3272,-0.012546591
2017-11-03 06-PM,BTCUSD,7175.01,3271,0.004192744
2017-11-03 07-PM,BTCUSD,7170.01,3270,-0.000697106
2017-11-03 08-PM,BTCUSD,7124.92,3269,-0.006308551
2017-11-03 09-PM,BTCUSD,7120,3268,-0.000690773
2017-11-03 10-PM,BTCUSD,7179.91,3267,0.008379123
2017-11-03 11-PM,BTCUSD,7249.69,3266,0.009671861
2017-11-04 12-AM,BTCUSD,7265,3265,0.002109588
2017-11-04 01-AM,BTCUSD,7211.39,3264,-0.007406577
2017-11-04 02-AM,BTCUSD,7191.22,3263,-0.002800883
2017-11-04 03-AM,BTCUSD,7241.06,3262,0.006906767
2017-11-04 04-AM,BTCUSD,7194.42,3261,-0.006461879
2017-11-04 05-AM,BTCUSD,7168,3260,-0.00367905
2017-11-04 06-AM,BTCUSD,7156.31,3259,-0.001632191
2017-11-04 07-AM,BTCUSD,7138.25,3258,-0.002526837
2017-11-04 08-AM,BTCUSD,7210,3257,0.010001303
2017-11-04 09-AM,BTCUSD,7321.04,3256,0.015283443
2017-11-04 10-AM,BTCUSD,7308.14,3255,-0.001763599
