Date,BTC_DATE,SAME DATE CHECK,Symbol,Close_DOGE TO BTC,BTC TO USD,DOGE_TO_USD,Logaritmic return DOGE
2017-11-01 12-AM,2017-11-01 12-AM,1,DOGEBTC,1.90E-07,6371.04,0.001210498,-0.048593331
2017-11-01 01-AM,2017-11-01 01-AM,1,DOGEBTC,1.80E-07,6406.01,0.001153082,-0.048593331
2017-11-01 02-AM,2017-11-01 02-AM,1,DOGEBTC,1.80E-07,6414.17,0.001154551,0.001272993
2017-11-01 03-AM,2017-11-01 03-AM,1,DOGEBTC,1.80E-07,6409.46,0.001153703,-0.000734581
2017-11-01 04-AM,2017-11-01 04-AM,1,DOGEBTC,1.80E-07,6450.32,0.001161058,0.006354718
2017-11-01 05-AM,2017-11-01 05-AM,1,DOGEBTC,1.80E-07,6546.09,0.001178296,0.014738183
2017-11-01 06-AM,2017-11-01 06-AM,1,DOGEBTC,1.80E-07,6600,0.001188,0.008201724
2017-11-01 07-AM,2017-11-01 07-AM,1,DOGEBTC,1.80E-07,6590.58,0.001186304,-0.001428292
2017-11-01 08-AM,2017-11-01 08-AM,1,DOGEBTC,1.70E-07,6517.35,0.00110795,-0.068331919
2017-11-01 09-AM,2017-11-01 09-AM,1,DOGEBTC,1.70E-07,6490.26,0.001103344,-0.00416526
2017-11-01 10-AM,2017-11-01 10-AM,1,DOGEBTC,1.80E-07,6568.29,0.001182292,0.069109347
2017-11-01 11-AM,2017-11-01 11-AM,1,DOGEBTC,1.70E-07,6564,0.00111588,-0.057811765
2017-11-01 12-PM,2017-11-01 12-PM,1,DOGEBTC,1.70E-07,6595,0.00112115,0.004711613
2017-11-01 01-PM,2017-11-01 01-PM,1,DOGEBTC,1.70E-07,6614.79,0.001124514,0.002996265
2017-11-01 02-PM,2017-11-01 02-PM,1,DOGEBTC,1.70E-07,6594.92,0.001121136,-0.003008395
2017-11-01 03-PM,2017-11-01 03-PM,1,DOGEBTC,1.70E-07,6619.99,0.001125398,0.003794204
2017-11-01 04-PM,2017-11-01 04-PM,1,DOGEBTC,1.70E-07,6580,0.0011186,-0.006059114
2017-11-01 05-PM,2017-11-01 05-PM,1,DOGEBTC,1.70E-07,6601,0.00112217,0.003186407
2017-11-01 06-PM,2017-11-01 06-PM,1,DOGEBTC,1.70E-07,6677.2,0.001135124,0.011477585
2017-11-01 07-PM,2017-11-01 07-PM,1,DOGEBTC,1.70E-07,6783.69,0.001153227,0.015822464
2017-11-01 08-PM,2017-11-01 08-PM,1,DOGEBTC,1.70E-07,6815.28,0.001158598,0.004645948
2017-11-01 09-PM,2017-11-01 09-PM,1,DOGEBTC,1.70E-07,6917.96,0.001176053,0.014953778
2017-11-01 10-PM,2017-11-01 10-PM,1,DOGEBTC,1.70E-07,6890,0.0011713,-0.004049843
2017-11-01 11-PM,2017-11-01 11-PM,1,DOGEBTC,1.70E-07,6948,0.00118116,0.008382763
2017-11-02 12-AM,2017-11-02 12-AM,1,DOGEBTC,1.70E-07,6951,0.00118167,0.000431686
2017-11-02 01-AM,2017-11-02 01-AM,1,DOGEBTC,1.70E-07,6933.06,0.00117862,-0.00258426
2017-11-02 02-AM,2017-11-02 02-AM,1,DOGEBTC,1.70E-07,7083,0.00120411,0.021396273
2017-11-02 03-AM,2017-11-02 03-AM,1,DOGEBTC,1.60E-07,7009.99,0.001121598,-0.070985894
2017-11-02 04-AM,2017-11-02 04-AM,1,DOGEBTC,1.60E-07,7039.99,0.001126398,0.004270475
2017-11-02 05-AM,2017-11-02 05-AM,1,DOGEBTC,1.60E-07,7040.83,0.001126533,0.000119311
2017-11-02 06-AM,2017-11-02 06-AM,1,DOGEBTC,1.60E-07,7245.62,0.001159299,0.028671087
2017-11-02 07-AM,2017-11-02 07-AM,1,DOGEBTC,1.60E-07,7029.99,0.001124798,-0.030211865
2017-11-02 08-AM,2017-11-02 08-AM,1,DOGEBTC,1.60E-07,7030.9,0.001124944,0.000129437
2017-11-02 09-AM,2017-11-02 09-AM,1,DOGEBTC,1.60E-07,7148.5,0.00114376,0.016587824
2017-11-02 10-AM,2017-11-02 10-AM,1,DOGEBTC,1.50E-07,7027.22,0.001054083,-0.081649886
2017-11-02 11-AM,2017-11-02 11-AM,1,DOGEBTC,1.50E-07,7091.01,0.001063652,0.009036605
2017-11-02 12-PM,2017-11-02 12-PM,1,DOGEBTC,1.60E-07,6965.75,0.00111452,0.046716019
2017-11-02 01-PM,2017-11-02 01-PM,1,DOGEBTC,1.60E-07,7000.01,0.001120002,0.004906295
2017-11-02 02-PM,2017-11-02 02-PM,1,DOGEBTC,1.60E-07,6879.9,0.001100784,-0.017307461
2017-11-02 03-PM,2017-11-02 03-PM,1,DOGEBTC,1.60E-07,6977.96,0.001116474,0.014152493
2017-11-02 04-PM,2017-11-02 04-PM,1,DOGEBTC,1.50E-07,7059.01,0.001058852,-0.052990317
2017-11-02 05-PM,2017-11-02 05-PM,1,DOGEBTC,1.60E-07,7089.9,0.001134384,0.068904942
2017-11-02 06-PM,2017-11-02 06-PM,1,DOGEBTC,1.60E-07,7030.01,0.001124802,-0.008483108
2017-11-02 07-PM,2017-11-02 07-PM,1,DOGEBTC,1.60E-07,7039.99,0.001126398,0.001418621
2017-11-02 08-PM,2017-11-02 08-PM,1,DOGEBTC,1.60E-07,7000,0.00112,-0.005696601
2017-11-02 09-PM,2017-11-02 09-PM,1,DOGEBTC,1.60E-07,7011.81,0.00112189,0.001685721
2017-11-02 10-PM,2017-11-02 10-PM,1,DOGEBTC,1.60E-07,7052,0.00112832,0.005715394
2017-11-02 11-PM,2017-11-02 11-PM,1,DOGEBTC,1.60E-07,7220.01,0.001155202,0.023545073
2017-11-03 12-AM,2017-11-03 12-AM,1,DOGEBTC,1.60E-07,7209.3,0.001153488,-0.001484479
2017-11-03 01-AM,2017-11-03 01-AM,1,DOGEBTC,1.60E-07,7238.21,0.001158114,0.004002079
2017-11-03 02-AM,2017-11-03 02-AM,1,DOGEBTC,1.60E-07,7210,0.0011536,-0.003904987
2017-11-03 03-AM,2017-11-03 03-AM,1,DOGEBTC,1.60E-07,7323.82,0.001171811,0.015663098
2017-11-03 04-AM,2017-11-03 04-AM,1,DOGEBTC,1.60E-07,7400,0.001184,0.01034795
2017-11-03 05-AM,2017-11-03 05-AM,1,DOGEBTC,1.60E-07,7386.77,0.001181883,-0.001789438
2017-11-03 06-AM,2017-11-03 06-AM,1,DOGEBTC,1.60E-07,7417.25,0.00118676,0.004117806
2017-11-03 07-AM,2017-11-03 07-AM,1,DOGEBTC,1.60E-07,7317.92,0.001170867,-0.013482234
2017-11-03 08-AM,2017-11-03 08-AM,1,DOGEBTC,1.60E-07,7341.11,0.001174578,0.003163923
2017-11-03 09-AM,2017-11-03 09-AM,1,DOGEBTC,1.60E-07,7241.15,0.001158584,-0.013710024
2017-11-03 10-AM,2017-11-03 10-AM,1,DOGEBTC,1.60E-07,7293.2,0.001166912,0.007162374
2017-11-03 11-AM,2017-11-03 11-AM,1,DOGEBTC,1.50E-07,7373,0.00110595,-0.053656249
2017-11-03 12-PM,2017-11-03 12-PM,1,DOGEBTC,1.50E-07,7326.03,0.001098905,-0.00639092
2017-11-03 01-PM,2017-11-03 01-PM,1,DOGEBTC,1.50E-07,7303.36,0.001095504,-0.003099243
2017-11-03 02-PM,2017-11-03 02-PM,1,DOGEBTC,1.50E-07,7343,0.00110145,0.005412962
2017-11-03 03-PM,2017-11-03 03-PM,1,DOGEBTC,1.50E-07,7298.47,0.001094771,-0.006082741
2017-11-03 04-PM,2017-11-03 04-PM,1,DOGEBTC,1.50E-07,7235.2,0.00108528,-0.008706734
2017-11-03 05-PM,2017-11-03 05-PM,1,DOGEBTC,1.50E-07,7144.99,0.001071749,-0.012546591
2017-11-03 06-PM,2017-11-03 06-PM,1,DOGEBTC,1.50E-07,7175.01,0.001076252,0.004192744
2017-11-03 07-PM,2017-11-03 07-PM,1,DOGEBTC,1.50E-07,7170.01,0.001075502,-0.000697106
2017-11-03 08-PM,2017-11-03 08-PM,1,DOGEBTC,1.70E-07,7124.92,0.001211236,0.118854592
2017-11-03 09-PM,2017-11-03 09-PM,1,DOGEBTC,1.70E-07,7120,0.0012104,-0.000690773
2017-11-03 10-PM,2017-11-03 10-PM,1,DOGEBTC,1.70E-07,7179.91,0.001220585,0.008379123
2017-11-03 11-PM,2017-11-03 11-PM,1,DOGEBTC,1.70E-07,7249.69,0.001232447,0.009671861
2017-11-04 12-AM,2017-11-04 12-AM,1,DOGEBTC,1.70E-07,7265,0.00123505,0.002109588
2017-11-04 01-AM,2017-11-04 01-AM,1,DOGEBTC,1.70E-07,7211.39,0.001225936,-0.007406577
2017-11-04 02-AM,2017-11-04 02-AM,1,DOGEBTC,1.70E-07,7191.22,0.001222507,-0.002800883
2017-11-04 03-AM,2017-11-04 03-AM,1,DOGEBTC,1.70E-07,7241.06,0.00123098,0.006906767
2017-11-04 04-AM,2017-11-04 04-AM,1,DOGEBTC,1.70E-07,7194.42,0.001223051,-0.006461879
2017-11-04 05-AM,2017-11-04 05-AM,1,DOGEBTC,1.70E-07,7168,0.00121856,-0.00367905
2017-11-04 06-AM,2017-11-04 06-AM,1,DOGEBTC,1.60E-07,7156.31,0.00114501,-0.062256812
2017-11-04 07-AM,2017-11-04 07-AM,1,DOGEBTC,1.50E-07,7138.25,0.001070738,-0.067065358
2017-11-04 08-AM,2017-11-04 08-AM,1,DOGEBTC,1.50E-07,7210,0.0010815,0.010001303
2017-11-04 09-AM,2017-11-04 09-AM,1,DOGEBTC,1.50E-07,7321.04,0.001098156,0.015283443
2017-11-04 10-AM,2017-11-04 10-AM,1,DOGEBTC,1.60E-07,7308.14,0.001169302,0.062774922
2017-11-04 11-AM,2017-11-04 11-AM,1,DOGEBTC,1.60E-07,7331.1,0.001172976,0.003136777
2017-11-04 12-PM,2017-11-04 12-PM,1,DOGEBTC,1.60E-07,7355.01,0.001176802,0.003256141
2017-11-04 01-PM,2017-11-04 01-PM,1,DOGEBTC,1.60E-07,7346.77,0.001175483,-0.001120953
2017-11-04 02-PM,2017-11-04 02-PM,1,DOGEBTC,1.60E-07,7352.01,0.001176322,0.000712984
2017-11-04 03-PM,2017-11-04 03-PM,1,DOGEBTC,1.60E-07,7444.99,0.001191198,0.012567578
2017-11-04 04-PM,2017-11-04 04-PM,1,DOGEBTC,1.60E-07,7474.99,0.001195998,0.004021459
2017-11-04 05-PM,2017-11-04 05-PM,1,DOGEBTC,1.60E-07,7477.48,0.001196397,0.000333055
2017-11-04 06-PM,2017-11-04 06-PM,1,DOGEBTC,1.60E-07,7428.58,0.001188573,-0.006561113
2017-11-04 07-PM,2017-11-04 07-PM,1,DOGEBTC,1.60E-07,7412.55,0.001186008,-0.002160214
2017-11-04 08-PM,2017-11-04 08-PM,1,DOGEBTC,1.60E-07,7361.01,0.001177762,-0.006977358
2017-11-04 09-PM,2017-11-04 09-PM,1,DOGEBTC,1.60E-07,7422.2,0.001187552,0.008278358
2017-11-04 10-PM,2017-11-04 10-PM,1,DOGEBTC,1.60E-07,7413.14,0.001186102,-0.001221408
2017-11-04 11-PM,2017-11-04 11-PM,1,DOGEBTC,1.60E-07,7436.91,0.001189906,0.003201339
2017-11-05 12-AM,2017-11-05 12-AM,1,DOGEBTC,1.50E-07,7448.78,0.001117317,-0.062943701
2017-11-05 01-AM,2017-11-05 01-AM,1,DOGEBTC,1.50E-07,7489.97,0.001123496,0.005514532
2017-11-05 02-AM,2017-11-05 02-AM,1,DOGEBTC,1.50E-07,7460,0.001119,-0.004009378
2017-11-05 03-AM,2017-11-05 03-AM,1,DOGEBTC,1.60E-07,7477.42,0.001196387,0.06687092
2017-11-05 04-AM,2017-11-05 04-AM,1,DOGEBTC,1.50E-07,7467.88,0.001120182,-0.065815177
2017-11-05 05-AM,2017-11-05 05-AM,1,DOGEBTC,1.60E-07,7479.99,0.001196798,0.066158819
2017-11-05 06-AM,2017-11-05 06-AM,1,DOGEBTC,1.60E-07,7549.95,0.001207992,0.009309486
2017-11-05 07-AM,2017-11-05 07-AM,1,DOGEBTC,1.60E-07,7553.17,0.001208507,0.000426402
2017-11-05 08-AM,2017-11-05 08-AM,1,DOGEBTC,1.60E-07,7610.01,0.001217602,0.007497143
2017-11-05 09-AM,2017-11-05 09-AM,1,DOGEBTC,1.60E-07,7545,0.0012072,-0.008579394
2017-11-05 10-AM,2017-11-05 10-AM,1,DOGEBTC,1.60E-07,7551.16,0.001208186,0.000816102
2017-11-05 11-AM,2017-11-05 11-AM,1,DOGEBTC,1.60E-07,7535,0.0012056,-0.002142362
2017-11-05 12-PM,2017-11-05 12-PM,1,DOGEBTC,1.60E-07,7540.4,0.001206464,0.000716399
2017-11-05 01-PM,2017-11-05 01-PM,1,DOGEBTC,1.60E-07,7560.01,0.001209602,0.002597282
2017-11-05 02-PM,2017-11-05 02-PM,1,DOGEBTC,1.60E-07,7589.99,0.001214398,0.003957761
2017-11-05 03-PM,2017-11-05 03-PM,1,DOGEBTC,1.60E-07,7550.04,0.001208006,-0.005277413
2017-11-05 04-PM,2017-11-05 04-PM,1,DOGEBTC,1.60E-07,7383,0.00118128,-0.022372801
2017-11-05 05-PM,2017-11-05 05-PM,1,DOGEBTC,1.60E-07,7366,0.00117856,-0.002305242
2017-11-05 06-PM,2017-11-05 06-PM,1,DOGEBTC,1.70E-07,7392,0.00125664,0.064148138
2017-11-05 07-PM,2017-11-05 07-PM,1,DOGEBTC,1.70E-07,7368.81,0.001252698,-0.003142107
