Date,Symbol,Open,High,Low,Close,Volume From,Volume To,Logaritmic change
2017-11-01 12-AM,ETHUSD,303.5,303.51,302.12,302.94,2107.41,637740.55,-0.001385453
2017-11-01 01-AM,ETHUSD,302.94,303.94,302.72,303.36,1465.06,444362.32,0.001385453
2017-11-01 02-AM,ETHUSD,303.36,305,303.3,304.78,999.68,304092.14,0.004669986
2017-11-01 03-AM,ETHUSD,304.78,304.79,303.39,303.62,1280.32,389271.54,-0.003813285
2017-11-01 04-AM,ETHUSD,303.62,304.47,303.53,303.64,1651.18,501653.76,6.58696E-05
2017-11-01 05-AM,ETHUSD,303.64,304.3,301.6,301.6,3345.34,1012952.44,-0.006741153
2017-11-01 06-AM,ETHUSD,301.6,301.88,297,298.02,8674.21,2596174.98,-0.011941038
2017-11-01 07-AM,ETHUSD,298.02,298.7,296.26,296.57,4129.2,1227691.15,-0.00487732
2017-11-01 08-AM,ETHUSD,296.57,300.75,296.26,300,4909.98,1466339.73,0.011499196
2017-11-01 09-AM,ETHUSD,300,300.01,296.84,299.22,3978.22,1187638.39,-0.002603386
2017-11-01 10-AM,ETHUSD,299.22,302.49,299.22,301.03,5172.41,1557988.22,0.006030839
2017-11-01 11-AM,ETHUSD,301.03,301.62,298.08,298.53,4355.13,1304555.01,-0.008339497
2017-11-01 12-PM,ETHUSD,298.53,298.54,297,297.45,5759.02,1715415.56,-0.003624287
2017-11-01 01-PM,ETHUSD,297.45,297.56,296.01,296.46,6119.55,1814860.58,-0.003333842
2017-11-01 02-PM,ETHUSD,296.46,297.47,296.35,296.89,3977.05,1180728.91,0.001449398
2017-11-01 03-PM,ETHUSD,296.89,298.37,296.87,298.2,3617.61,1077004.97,0.004402703
2017-11-01 04-PM,ETHUSD,298.2,299,296.5,298.86,5123.54,1525065.98,0.002210834
2017-11-01 05-PM,ETHUSD,298.86,299,296,296.5,6227.5,1850854.57,-0.007928018
2017-11-01 06-PM,ETHUSD,296.5,296.51,291.02,293.25,16578.06,4873541.97,-0.011021731
2017-11-01 07-PM,ETHUSD,293.25,294.4,289.51,290.82,11383.24,3311273.34,-0.008320968
2017-11-01 08-PM,ETHUSD,290.82,292.94,289.15,289.15,9400.78,2735674.39,-0.005758934
2017-11-01 09-PM,ETHUSD,289.15,292.62,278.88,290.99,32577.16,9301238.56,0.006343318
2017-11-01 10-PM,ETHUSD,290.99,295.51,290,290.48,13141.2,3842239.72,-0.001754175
2017-11-01 11-PM,ETHUSD,290.48,290.49,286.28,289.58,7287.59,2103175.16,-0.00310313
2017-11-02 12-AM,ETHUSD,289.58,291.33,287.77,289.47,5471.98,1587818.47,-0.000379933
2017-11-02 01-AM,ETHUSD,289.47,290.13,286.5,287.21,4335.58,1249421.15,-0.007838009
2017-11-02 02-AM,ETHUSD,287.21,289.04,286.51,286.51,6232.72,1791163.22,-0.002440216
2017-11-02 03-AM,ETHUSD,286.51,287,285.11,285.66,5249.43,1500993.74,-0.002971147
2017-11-02 04-AM,ETHUSD,285.66,287,282.8,282.8,4538.05,1293302.19,-0.010062358
2017-11-02 05-AM,ETHUSD,282.8,285.38,281.13,283.61,3762.06,1065345.3,0.002860121
2017-11-02 06-AM,ETHUSD,283.61,284.25,280.12,281.79,9348.8,2630659.97,-0.006437942
2017-11-02 07-AM,ETHUSD,281.79,291.59,280,290.78,15893.67,4544922.03,0.031404855
2017-11-02 08-AM,ETHUSD,290.78,291,284.2,284.48,7175.55,2071276.54,-0.021904015
2017-11-02 09-AM,ETHUSD,284.48,287.73,283.3,285.29,7811.3,2227754.06,0.002843254
2017-11-02 10-AM,ETHUSD,285.29,292.03,285.28,290.75,11363.39,3275797.99,0.018957585
2017-11-02 11-AM,ETHUSD,290.75,291.46,286.29,287.8,6738.49,1944635.19,-0.010197997
2017-11-02 12-PM,ETHUSD,287.8,287.8,284.26,285.98,6721.58,1919695.08,-0.006343916
2017-11-02 01-PM,ETHUSD,285.98,288.39,284.51,285.71,4629.64,1327701.03,-0.000944568
2017-11-02 02-PM,ETHUSD,285.71,287.36,284.7,286.22,5289.39,1511367.93,0.001783436
2017-11-02 03-PM,ETHUSD,286.22,288.12,284.02,288.12,5109.88,1461915.77,0.006616314
2017-11-02 04-PM,ETHUSD,288.12,290,285.99,287.84,6116.87,1762313.25,-0.00097229
2017-11-02 05-PM,ETHUSD,287.84,287.85,285,285.2,4101.3,1173935.45,-0.009214082
2017-11-02 06-PM,ETHUSD,285.2,287.17,284.1,285.25,6160.84,1757847.96,0.0001753
2017-11-02 07-PM,ETHUSD,285.25,286.84,282.7,285.4,5682.85,1617373.28,0.000525716
2017-11-02 08-PM,ETHUSD,285.4,289.82,285.4,286.85,5273.13,1515232.74,0.005067726
2017-11-02 09-PM,ETHUSD,286.85,289.94,286.77,289.25,5009.64,1446581.55,0.008331935
2017-11-02 10-PM,ETHUSD,289.25,290.5,288.1,289.56,3858.55,1115866.45,0.001071163
2017-11-02 11-PM,ETHUSD,289.56,289.96,286.34,287.11,5534.53,1591091.63,-0.008497112
2017-11-03 12-AM,ETHUSD,287.11,289.84,286.7,289.1,4545.54,1308738.14,0.006907231
2017-11-03 01-AM,ETHUSD,289.1,289.97,287.99,289.25,2465.5,712241.95,0.000518717
2017-11-03 02-AM,ETHUSD,289.25,289.74,288,288.69,3375.47,975414.99,-0.001937918
2017-11-03 03-AM,ETHUSD,288.69,293.58,288.69,293.3,2778.12,810038.97,0.015842528
2017-11-03 04-AM,ETHUSD,293.3,294.59,293.3,293.34,3023.73,888891.99,0.00013637
2017-11-03 05-AM,ETHUSD,293.34,294.5,292.32,292.89,2104.08,617323.82,-0.001535234
2017-11-03 06-AM,ETHUSD,292.89,294.45,292.5,294,2146.46,629757.6,0.003782655
2017-11-03 07-AM,ETHUSD,294,298,293.3,296.88,3865.19,1145358.96,0.009748249
2017-11-03 08-AM,ETHUSD,296.88,298.95,295.1,298.15,3607.62,1072827.74,0.004268699
2017-11-03 09-AM,ETHUSD,298.15,299.27,297.9,299.01,3953.43,1180834.84,0.002880302
2017-11-03 10-AM,ETHUSD,299.01,299.49,297.82,298.9,4082.55,1219243.89,-0.000367948
2017-11-03 11-AM,ETHUSD,298.9,301.97,298.68,300.12,5711.92,1715052.39,0.004073325
2017-11-03 12-PM,ETHUSD,300.12,300.92,299.23,299.5,4177.13,1253250.44,-0.002067977
2017-11-03 01-PM,ETHUSD,299.5,299.5,297.24,297.66,5099.39,1523033.48,-0.006162522
2017-11-03 02-PM,ETHUSD,297.66,298.99,297.26,298.51,2847.3,848994.84,0.002851538
2017-11-03 03-PM,ETHUSD,298.51,301,298.5,300.99,4895.89,1466547.4,0.008273608
2017-11-03 04-PM,ETHUSD,300.99,304.6,297.89,303.07,8442.34,2544115.33,0.00688676
2017-11-03 05-PM,ETHUSD,303.07,308,303.07,307.69,17686.6,5414167.86,0.015128981
2017-11-03 06-PM,ETHUSD,307.69,308.06,303.77,303.78,7336.19,2243074.84,-0.012789027
2017-11-03 07-PM,ETHUSD,303.78,306.8,303.77,306,5266.18,1609183.89,0.007281347
2017-11-03 08-PM,ETHUSD,306,306,300.78,300.78,6144.53,1860873.43,-0.017206001
2017-11-03 09-PM,ETHUSD,300.78,300.79,295,295.49,7418.09,2207251.41,-0.017744105
2017-11-03 10-PM,ETHUSD,295.49,298.11,295.49,296.98,3626.95,1076350.55,0.005029801
2017-11-03 11-PM,ETHUSD,296.98,298.81,296.82,297.68,2134.71,636179.11,0.002354288
2017-11-04 12-AM,ETHUSD,297.68,300,297.66,299.62,2495.56,746735,0.006495921
2017-11-04 01-AM,ETHUSD,299.62,300,299.46,299.99,1478.07,443242.03,0.001234136
2017-11-04 02-AM,ETHUSD,299.99,301.6,299.99,301.59,1056.98,318127.8,0.005319338
2017-11-04 03-AM,ETHUSD,301.59,303.5,300.04,300.14,3011.74,909167.9,-0.004819447
2017-11-04 04-AM,ETHUSD,300.14,301.3,299.81,300.54,2148.23,645299.49,0.001331824
2017-11-04 05-AM,ETHUSD,300.54,301.89,299.83,301.6,1150.17,346077.98,0.00352078
2017-11-04 06-AM,ETHUSD,301.6,304.54,301.4,303,2583.91,783716.56,0.004631169
2017-11-04 07-AM,ETHUSD,303,303.68,301.39,302.31,1282.9,387923.45,-0.002279825
2017-11-04 08-AM,ETHUSD,302.31,303.89,301.26,303.75,1263.88,383222.77,0.004752014
2017-11-04 09-AM,ETHUSD,303.75,303.89,300.01,300.11,2295.24,692473.06,-0.012055921
